"Field Name","Alias","Description","Type"
"ADDRESS","Address","Address","Text"
"ADDRESSOBJECTID","Address Object ID","Unique identifier for each address.","Text"
"APPLICANTTYPE","Applicant Type","Replacement for APPLICANTCAPACITY field in old Hansen-based LI_PERMITS. Possible values are PROFESSIONAL/TRADESPERSON, TENANT, OWNER. In Hansen the possible values were APPL, OCCUPANT, OTHER, OWNER, PROF.","Text"
"APPROVEDSCOPEOFWORK","Approved Scope of Work","Brief description of intended use of the permit being issued.","Text"
"areaofdisturbance","","Square footage of the area of earth disturbance specified on the permit. Only available for Eclipse-era permits. ","Numeric"
"CENSUSTRACT","Census Tract","Census tract of the address.","Text"
"certificateofoccupancylink","","Link to the certificate of occupancy document. ","URL"
"COMMERCIALORRESIDENTIAL","Commercial or Residential","Indicator of whether the permit issued with be on a Commercial or Residential Building.","Text"
"CONTRACTORADDRESS1","Contractor Address 1","","Text"
"CONTRACTORADDRESS2","Contractor Address 2","","Text"
"CONTRACTORCITY","Contractor City","","Text"
"CONTRACTORNAME","Contractor Name","","Text"
"CONTRACTORSTATE","Contractor State","","Text"
"CONTRACTORZIP","Contractor Zip","","Text"
"COUNCIL_DIST","","City Council District","Text"
"COUNCIL_DISTRICT","Council District","City Council District","Text"
"denialdocumentlink","","Link to the denial document. ","URL"
"GEOCODE_X","X","","Numeric"
"GEOCODE_Y","Y","","Numeric"
"MOSTRECENTINSP","Most Recent Inspection","Most recent inspection date.","Date/Time"
"numberofstories","","Number of stories listed on the permit application. Only available on Eclipse-era permits. ",""
"NUMBEROFUNITS","Number of Units","*COMING SOON* - SELF-REPORTED number of units associated with the permit. This number is NOT VERIFIED by the city. Any analysis utilizing this field should include a disclaimer about the self-reported, unverified nature of the data. ","Numeric"
"OBJECTID","OBJECTID","","OBJECTID"
"OCCUPANCYTYPE","Occupancy Type","*COMING SOON* - Descriptive text field indicating the occupancy type associated with the permit.","Text"
"OPA_ACCOUNT_NUM","OPA Account Number","Office of Property Assessment Account Number' Every land parcel within the City of Philadelphia is assigned a unique account number from OPA. This number stays with the property for as long as the deed is held by the same owner. Once a property transfers ownership, it is assigned a new OPA account number and the old one is retired. <br /><br />This field can be used as a join key for various city datasets. It is also sometimes known as the 'BRT' number or within some datasets coming directly from OPA is also called the 'PARCEL_NUMBER'. (Other departments may use different internal 'Parcel Numbers', so please verify before using).","Text"
"OPA_OWNER","OPA Owner","Office of Property Assessment's ownership from the current deed for the property.","Text"
"PARCEL_ID_NUM","Parcel ID Number","Uniqe identifier for each parcel assigned by Philadelphia Water Department.","Text"
"parentjobid","","A permit can be joined to its parent permit (if it has a parent permit) using the parentjobid. For instance, parentjobid allows data users to link permit MP-2025-002815 to its parent permit, RP-2025-004560. ","Text"
"permitcompleteddate","","Date permit was completed. ","Date"
"PERMITDESCRIPTION","Permit Description","The description of the type of permit issued.","Text"
"PERMITISSUEDATE","Permit Issue Date","Date permit was issued.","Date/Time"
"PERMITNUMBER","Permit Number","Unique identifier for each permit issued.","Text"
"PERMITTYPE","Permit Type","The type of permit being issued.","Text"
"POSSE_JOBID","","Objectid and join field for related records","Text"
"SHAPE","Shape","Point geometry","Other"
"STATUS","Status","Status of application. When the STATUS column indicates a 'completed' permit, it means that construction should be wrapped up and any additional work would require additional permits.","Text"
"SYSTEMOFRECORD","System of Record","The L&I system where this record originates. Possible values: HANSEN (1/1/2007-3/13/2020), ECLIPSE (3/16/2020-present)","Text"
"TYPEOFWORK","Type of Work","Detailed indication of the type of work being conducted.","Text"
"UNIT_NUM","Unit Number","Sub-designation identifier.  Suite number, apartment number, or any other additional address designation.","Text"
"UNIT_TYPE","Unit Type","Sub-designation type.  Suite, apartment, or any other additional unit type designation.","Text"
"USECATEGORIES","Use Categories","Descriptive text field that describes the use(s) associated with the permit. ","Text"
"ZIP","Zipcode","ZIP+4 or postal code of the address.","Text"
"zoningpermitjobid","","A permit can be joined to its zoning permit (if there is one) by zoningpermitjobid. For instance, a data user can use zoningpermitjobid to link permit RP-2025-004379 to its zoning permit, ZP-2024-005217.","Text"
